Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Weight Sharing,SqueezeNet,Healthcare,91.1,89,89.7,46.1,495.5,378.8,14.4,Low-End,Moderate,Andhra Pradesh
Pruning,MobileNetV2,Agriculture,92.2,91.4,73.8,23.9,399.3,311.3,30.5,Low-End,Poor,Chhattisgarh
Quantization,EfficientNet,Agriculture,86.7,85.1,30.6,14.3,373.8,234.9,14.9,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,ResNet18,Education,87.6,87,99.9,31.6,414,268.2,27.1,Low-End,Moderate,Madhya Pradesh
Weight Sharing,MobileNetV2,Healthcare,89.7,88.8,66.6,35.5,574.1,290.9,15,Mid-Range,Moderate,Andhra Pradesh
Pruning,MobileNet,Education,83.3,80.9,12.4,7.2,195.4,117,37.5,Mid-Range,Poor,Uttar Pradesh
Quantization,EfficientNet,Healthcare,86.1,85.3,8.9,4,584.3,447,16.1,Low-End,Moderate,West Bengal
Knowledge Distillation,MobileNetV2,Education,84.9,83.5,18.1,10.9,545.8,328.9,24.6,Mid-Range,Good,Madhya Pradesh
Weight Sharing,EfficientNet,Agriculture,87.7,86.8,46.7,16.2,395.1,208.3,36.9,Low-End,Good,Assam
Pruning,MobileNetV2,Agriculture,91.7,89,92.8,64.3,532.3,273.8,36.8,Low-End,Moderate,Odisha
Quantization,ResNet50,Healthcare,83,81.9,31.7,18.8,568.1,395.1,21.1,Low-End,Poor,Assam
Knowledge Distillation,ResNet50,Education,93.2,91.6,22.4,12.4,213.4,134.1,15.7,Mid-Range,Good,Tamil Nadu
Weight Sharing,EfficientNet,Education,92.5,90.6,93.2,49,338.1,211.5,30.6,Low-End,Moderate,Bihar
Pruning,ResNet50,Agriculture,87.5,85.6,72.5,24.7,254,182.5,22,Low-End,Poor,Jharkhand
Quantization,MobileNetV2,Education,89.2,86.8,97.8,45.3,484.6,366,32.2,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,87.2,85.8,35.1,12.4,406.2,246.7,19.8,Low-End,Poor,West Bengal
Weight Sharing,MobileNetV2,Education,87.5,85.6,6.6,3,317.3,182.8,30.6,Mid-Range,Moderate,Andhra Pradesh
Pruning,EfficientNet,Healthcare,89.7,87,90.9,39.9,343.8,207.2,30.8,Low-End,Poor,Assam
Quantization,ResNet18,Agriculture,87.3,84.5,59.9,24.9,413,209.2,20,Low-End,Good,West Bengal
Knowledge Distillation,EfficientNet,Healthcare,87.3,86.7,7.9,4.9,440.4,249.1,22,Low-End,Poor,West Bengal
Weight Sharing,MobileNet,Agriculture,91.7,91.1,29.7,18.8,162.9,95.7,17.4,Mid-Range,Moderate,Assam
Pruning,SqueezeNet,Education,85.1,83.3,94.6,64.1,501.2,278.6,11.1,Low-End,Moderate,Bihar
Quantization,MobileNetV2,Education,83.7,82.2,81.1,39.8,564.8,293.9,21.6,Low-End,Good,Bihar
Knowledge Distillation,MobileNetV2,Healthcare,92.7,92.1,58.9,40.6,257.9,156.4,20.3,Mid-Range,Poor,Madhya Pradesh
Weight Sharing,SqueezeNet,Agriculture,85.1,82.9,34.3,17.7,346,195.4,34.1,Mid-Range,Poor,Assam
Pruning,MobileNetV2,Agriculture,85.9,84.8,49.6,24.3,477.7,273.5,10.5,Mid-Range,Good,Andhra Pradesh
Quantization,MobileNetV2,Education,87.8,85.5,87.4,32.1,345.1,275.6,29.9,Low-End,Poor,Manipur
Knowledge Distillation,MobileNetV2,Agriculture,86.4,84.7,50.1,19.1,576.8,455.9,26.8,Low-End,Good,Jharkhand
Weight Sharing,MobileNetV2,Healthcare,88.4,85.9,44,16.7,154.7,80,23.3,Low-End,Poor,Madhya Pradesh
Pruning,MobileNet,Agriculture,83,81.5,7.5,2.9,259.5,167.1,36.9,Low-End,Good,Tamil Nadu
Quantization,EfficientNet,Education,86.8,85.7,61.9,24.5,419.5,256,20.1,Mid-Range,Moderate,Manipur
Knowledge Distillation,SqueezeNet,Agriculture,84.8,83.2,27.4,11.8,348.3,201.8,21.1,Mid-Range,Moderate,Uttar Pradesh
Weight Sharing,ResNet50,Agriculture,83.3,82.4,84.5,36.1,297.4,161.8,30.5,Mid-Range,Poor,Uttar Pradesh
Pruning,MobileNet,Education,93.8,91.4,18.7,7,190.1,136.7,29.4,Low-End,Good,Tamil Nadu
Quantization,ResNet18,Education,93.2,90.4,29.5,12.3,464.4,339.1,29.3,Low-End,Good,Odisha
Knowledge Distillation,EfficientNet,Education,93.7,90.7,31,13.1,459.3,343.1,38.8,Low-End,Good,Jharkhand
Weight Sharing,ResNet50,Education,88.7,86.5,18.4,8.4,593.4,420.8,19,Low-End,Good,Chhattisgarh
Pruning,EfficientNet,Healthcare,89.6,88.4,52.4,35.1,575.3,301.8,32.3,Low-End,Good,Jharkhand
Quantization,SqueezeNet,Healthcare,84.6,83.9,43.8,23.8,286.1,177.1,28,Low-End,Good,Odisha
Knowledge Distillation,MobileNetV2,Education,85.1,82.4,94.2,32.2,251.5,164,31.4,Low-End,Poor,West Bengal
Weight Sharing,SqueezeNet,Education,87.9,86.3,6.5,2.3,348.2,194,33.4,Low-End,Poor,Tamil Nadu
Pruning,MobileNetV2,Healthcare,92.5,90.3,49.4,24.2,276.3,187.8,12.3,Low-End,Good,Bihar
Quantization,EfficientNet,Agriculture,90.2,89.4,96.2,64.1,397.7,284.4,16.9,Low-End,Good,Bihar
Knowledge Distillation,SqueezeNet,Agriculture,87.8,87.1,40.4,14.3,216.2,128.7,11.3,Mid-Range,Moderate,Madhya Pradesh
Weight Sharing,MobileNetV2,Agriculture,88.5,87.2,32.3,16.5,309.6,205.7,37.8,Low-End,Moderate,Rajasthan
Pruning,ResNet18,Healthcare,84,82.1,19.7,8.6,529.1,360.6,38,Mid-Range,Poor,Tamil Nadu
Quantization,ResNet50,Education,90.8,89.2,65.2,25.9,383.6,302.1,36.9,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,89,86.6,37.8,17.3,560.9,444.1,10.7,Low-End,Good,Uttar Pradesh
Weight Sharing,MobileNet,Education,89.6,87.4,85.2,47.4,363.8,244.1,16.6,Low-End,Poor,Jharkhand
Pruning,MobileNetV2,Education,90.8,89.3,96.4,50.4,380.4,222.9,39.4,Low-End,Moderate,Madhya Pradesh
Quantization,SqueezeNet,Healthcare,90.7,90,51,23.7,468,341.9,20.2,Mid-Range,Good,Odisha
Knowledge Distillation,MobileNetV2,Healthcare,89.4,87.8,23,8.1,185.8,144.2,14.9,Mid-Range,Good,Manipur
Weight Sharing,MobileNet,Healthcare,92.9,91,66.8,36.8,535.1,281.4,33.4,Mid-Range,Moderate,Bihar
Pruning,EfficientNet,Agriculture,87.8,86.8,76.6,44.5,477.4,319.1,22.7,Low-End,Poor,West Bengal
Quantization,ResNet50,Education,87.9,85.9,18.5,12.5,533.7,400.6,32.7,Mid-Range,Good,West Bengal
Knowledge Distillation,MobileNetV2,Education,93.8,91.3,48.9,16.6,194.1,129.1,38.9,Low-End,Moderate,Chhattisgarh
Weight Sharing,SqueezeNet,Education,88.2,85.7,93.3,36.2,182.9,140.5,38.2,Mid-Range,Good,Chhattisgarh
Pruning,SqueezeNet,Agriculture,89.9,88.4,23.5,8.2,593.4,330.3,36.3,Low-End,Poor,Madhya Pradesh
Quantization,MobileNet,Healthcare,86.2,83.3,63.3,32.2,262.5,200.9,17.2,Low-End,Moderate,Andhra Pradesh
Knowledge Distillation,MobileNetV2,Education,92.4,89.9,58.6,26.6,275.6,140.2,16.5,Mid-Range,Good,Andhra Pradesh
Weight Sharing,ResNet50,Healthcare,86.1,85.3,68.1,45.3,199,120.4,19.1,Mid-Range,Moderate,Madhya Pradesh
Pruning,ResNet18,Agriculture,83.4,82.4,66.9,42.2,392.7,301.4,13.7,Mid-Range,Good,Odisha
Quantization,MobileNet,Education,83.7,83.2,33.8,17.7,196.2,152.4,38.5,Low-End,Good,Jharkhand
Knowledge Distillation,ResNet50,Healthcare,84.3,81.9,41.4,13.9,516.3,372.6,23.9,Mid-Range,Good,Bihar
Weight Sharing,MobileNet,Agriculture,90,88.2,46.5,31.6,465.2,263.5,11.1,Mid-Range,Moderate,Chhattisgarh
Pruning,ResNet18,Agriculture,93.8,91.9,37.4,19.6,567.4,442.8,14.7,Low-End,Moderate,Manipur
Quantization,ResNet18,Healthcare,86.9,84,31.3,16.6,487.3,278.8,24.1,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,SqueezeNet,Healthcare,86.2,84.2,23.4,13.9,514.5,395.8,13,Low-End,Poor,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,85.3,83,28,11.2,480.7,284.9,35.3,Mid-Range,Poor,West Bengal
Pruning,EfficientNet,Healthcare,92.7,90.6,63.8,33.9,434.3,235.2,37.8,Mid-Range,Moderate,Tamil Nadu
Quantization,MobileNetV2,Education,92.7,91.8,30.5,10.1,382.8,246.6,33.4,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,MobileNetV2,Education,90.6,88.7,64.7,39.6,198.4,151.5,40,Mid-Range,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Education,87.4,86.2,81.6,53.9,300.4,185.1,27.7,Mid-Range,Poor,Odisha
Pruning,SqueezeNet,Education,93.2,92.6,44.8,16.8,348,233.8,27,Low-End,Moderate,Assam
Quantization,MobileNet,Agriculture,84.8,84.3,90.7,44.3,503.5,366.6,12.6,Low-End,Poor,Andhra Pradesh
Knowledge Distillation,MobileNet,Healthcare,88.1,86.9,93.1,56,589.3,392.4,14,Mid-Range,Poor,Odisha
Weight Sharing,ResNet18,Healthcare,83.5,82.7,36.9,22.1,527,273.9,30.9,Low-End,Moderate,Rajasthan
Pruning,ResNet18,Agriculture,85.5,83.7,4.1,1.6,499,358.7,36,Mid-Range,Good,West Bengal
Quantization,MobileNet,Education,88.6,86.7,88.9,57.4,248.5,179.1,22.4,Low-End,Moderate,Odisha
Knowledge Distillation,EfficientNet,Agriculture,85.6,84.9,51.3,23,449.4,260,28.5,Mid-Range,Moderate,Uttar Pradesh
Weight Sharing,ResNet50,Healthcare,90.7,88.6,87.5,36.4,455.9,275.3,37.6,Low-End,Good,Chhattisgarh
Pruning,MobileNet,Education,87.7,85.8,23.6,8.8,394,234.2,10.8,Low-End,Good,Bihar
Quantization,ResNet18,Education,92.8,90.4,18,12.6,449.8,329,35.8,Low-End,Poor,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,92,91.4,36.3,17,582,354.7,13.3,Mid-Range,Poor,West Bengal
Weight Sharing,SqueezeNet,Education,90.9,90.1,50.4,29,383.3,226.7,21.5,Mid-Range,Poor,Madhya Pradesh
Pruning,ResNet50,Education,91.6,90.9,6.7,2.4,466.3,244.9,14.4,Mid-Range,Moderate,Uttar Pradesh
Quantization,MobileNet,Agriculture,86.5,85.4,82,46.8,468.5,323.2,24.2,Low-End,Poor,Uttar Pradesh
Knowledge Distillation,ResNet18,Agriculture,92.5,90.4,23.5,14.6,249.8,171.3,28.6,Low-End,Moderate,Chhattisgarh
Weight Sharing,MobileNetV2,Agriculture,93.1,90.6,72.4,43.1,174.9,136.1,19,Mid-Range,Good,Tamil Nadu
Pruning,MobileNetV2,Education,90.9,88.5,57.1,32.4,598.1,347.1,29.5,Low-End,Moderate,West Bengal
Quantization,MobileNet,Education,92.4,89.5,31.7,22,431.5,314.9,30,Mid-Range,Poor,Odisha
Knowledge Distillation,MobileNet,Education,88.1,86.9,58.1,20.5,272.5,170.3,20,Mid-Range,Good,Chhattisgarh
Weight Sharing,EfficientNet,Education,91,88.5,60.3,37.6,174.6,98.6,34,Low-End,Moderate,Rajasthan
Pruning,ResNet18,Healthcare,88.6,87,44.1,25.4,424.3,283.1,22.4,Low-End,Poor,Assam
Quantization,MobileNetV2,Agriculture,85.7,84.4,97,54.8,483,267.9,12.1,Mid-Range,Good,West Bengal
Knowledge Distillation,ResNet18,Agriculture,87.9,85.8,77,50.3,292.8,216.9,26.2,Low-End,Poor,Manipur
Weight Sharing,MobileNet,Healthcare,92.8,90.9,94.3,57.9,370.6,255.3,12.7,Mid-Range,Moderate,Odisha
Pruning,ResNet50,Education,90.9,90.3,32.5,21.7,333.6,209.6,13.5,Mid-Range,Moderate,Andhra Pradesh
Quantization,ResNet18,Healthcare,87.1,85.1,47.5,25.5,272.5,172,18.3,Mid-Range,Good,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,93,91.9,78.5,24,409.4,220.9,16.2,Mid-Range,Poor,Jharkhand
Weight Sharing,MobileNet,Agriculture,89.9,87.4,86.4,51.8,181.5,131,30.2,Mid-Range,Good,Manipur
Pruning,MobileNet,Healthcare,83.8,83,26.6,13.1,228.8,175.8,20,Mid-Range,Poor,Jharkhand
Quantization,ResNet18,Agriculture,92,90.7,16.5,10.8,184.5,92.9,11,Low-End,Good,West Bengal
Knowledge Distillation,ResNet50,Agriculture,87.3,85.9,7,4.9,312.8,166.1,22.2,Low-End,Moderate,Tamil Nadu
Weight Sharing,MobileNetV2,Education,83.5,82.6,26.1,13.9,560.3,283.1,12,Low-End,Moderate,Andhra Pradesh
Pruning,ResNet50,Agriculture,84.8,83.5,94,32.6,281.7,159.7,25.5,Low-End,Poor,Assam
Quantization,ResNet18,Healthcare,88.9,86.2,19,10.4,337.9,169.2,12.3,Mid-Range,Good,Jharkhand
Knowledge Distillation,MobileNet,Agriculture,88.5,87.5,52.5,20.6,315.2,180.3,11.1,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet18,Education,85.4,82.6,59.1,27.8,300.7,216,19.3,Mid-Range,Poor,Chhattisgarh
Pruning,SqueezeNet,Education,88.7,87.8,74.5,23.1,343.8,250.5,25.4,Low-End,Moderate,Madhya Pradesh
Quantization,MobileNetV2,Agriculture,87.4,84.6,97.6,61.5,391.4,268.2,29,Low-End,Good,Rajasthan
Knowledge Distillation,EfficientNet,Agriculture,87.1,84.3,95.8,60.5,325,184.5,10.4,Low-End,Moderate,Manipur
Weight Sharing,SqueezeNet,Healthcare,84.6,83.1,37.1,13.1,486.1,360.5,22.6,Mid-Range,Good,Tamil Nadu
Pruning,ResNet18,Education,83.5,82,74.8,39.3,378.4,211.3,12.7,Low-End,Good,West Bengal
Quantization,SqueezeNet,Healthcare,83.4,80.7,43.3,25.8,527.2,345.5,36.1,Mid-Range,Moderate,West Bengal
Knowledge Distillation,ResNet50,Healthcare,83.9,81.2,7.6,4.8,452.5,285.7,11.6,Mid-Range,Moderate,Tamil Nadu
Weight Sharing,SqueezeNet,Healthcare,83.9,82,49.4,17.8,452.8,291.4,18.4,Mid-Range,Poor,Chhattisgarh
Pruning,MobileNetV2,Education,90.9,90,14.1,7.2,289.5,175.4,26.8,Low-End,Moderate,Bihar
Quantization,MobileNetV2,Healthcare,89.6,88.2,73.8,41.9,254.2,154.6,14.5,Mid-Range,Good,Bihar
Knowledge Distillation,SqueezeNet,Healthcare,88.8,87,8.1,3.1,454.8,238.8,17.1,Low-End,Good,Bihar
Weight Sharing,SqueezeNet,Education,91.5,90.1,45.1,17.7,576.1,405.1,15.5,Low-End,Good,Andhra Pradesh
Pruning,MobileNet,Agriculture,83.9,81.2,34.8,23.1,598.7,327.1,32.8,Low-End,Moderate,Rajasthan
Quantization,SqueezeNet,Agriculture,84,82,92.3,62.6,230.1,118,29.3,Low-End,Good,Tamil Nadu
Knowledge Distillation,MobileNet,Agriculture,88.4,87.1,32.8,20.5,188.2,128.3,31.3,Mid-Range,Poor,Bihar
Weight Sharing,SqueezeNet,Education,91.2,90.7,74.4,37.5,325.2,240.2,18.2,Mid-Range,Poor,Andhra Pradesh
Pruning,MobileNetV2,Healthcare,85,82.1,63.8,34.1,595.6,334,23.9,Mid-Range,Good,Assam
Quantization,EfficientNet,Agriculture,92.7,90.9,95.7,50.1,504.4,361.4,29.7,Low-End,Poor,Assam
Knowledge Distillation,ResNet50,Education,86.4,84.7,52.1,28.8,515.5,327.8,13.4,Mid-Range,Moderate,Bihar
Weight Sharing,ResNet50,Healthcare,93.7,91.1,18.7,12.2,357.6,185.3,31.1,Mid-Range,Good,Jharkhand
Pruning,SqueezeNet,Education,90.4,89.1,5.8,2.6,241.2,188,17.4,Mid-Range,Good,Tamil Nadu
Quantization,MobileNet,Healthcare,91.7,90.9,33.7,12.5,308.3,193.8,12.8,Mid-Range,Moderate,West Bengal
Knowledge Distillation,ResNet18,Education,90,88.5,10.1,5,465.4,324.9,35.7,Low-End,Good,Madhya Pradesh
Weight Sharing,MobileNet,Education,91.3,89.4,22.1,8.7,208.3,165.5,38.5,Low-End,Poor,Andhra Pradesh
Pruning,MobileNet,Education,89.5,88.7,6.2,3.2,266.9,152.4,15.9,Mid-Range,Good,Uttar Pradesh
Quantization,SqueezeNet,Agriculture,86.1,84.9,39.1,24.1,381.9,218.9,17.3,Mid-Range,Moderate,Odisha
Knowledge Distillation,SqueezeNet,Healthcare,87.7,86.7,87.7,60.1,292.2,183.6,11.8,Low-End,Good,Tamil Nadu
Weight Sharing,SqueezeNet,Healthcare,83.1,81.2,15.1,7.2,552,439.5,11.8,Low-End,Poor,Manipur
Pruning,ResNet18,Education,93.4,92.7,89.2,47.6,437.9,234,17.6,Mid-Range,Moderate,Madhya Pradesh
Quantization,ResNet18,Agriculture,89.5,87.7,50.3,35.2,215.4,114.6,14.2,Mid-Range,Poor,Manipur
Knowledge Distillation,ResNet50,Agriculture,85.3,84.6,30.2,13.9,554.5,309.3,33.2,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,MobileNetV2,Agriculture,89,86.3,13.9,6,190.3,123.3,37.3,Mid-Range,Poor,Odisha
Pruning,SqueezeNet,Education,87,84.5,61.8,41.6,402.5,227.8,26.1,Mid-Range,Moderate,Madhya Pradesh
Quantization,SqueezeNet,Agriculture,93.3,90.5,68.8,30.8,176,110.7,29.5,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,MobileNetV2,Education,88.2,85.8,96.3,62.8,564.7,445.3,29.3,Low-End,Moderate,Tamil Nadu
Weight Sharing,EfficientNet,Healthcare,87.5,86.4,96.5,48.6,490.8,254.5,33.5,Mid-Range,Poor,Rajasthan
Pruning,ResNet18,Healthcare,84.9,84,53.8,36.7,208,105.8,19.5,Low-End,Good,Uttar Pradesh
Quantization,SqueezeNet,Agriculture,86.1,84.8,32.3,10.8,472.1,302.6,19.4,Low-End,Poor,Assam
Knowledge Distillation,EfficientNet,Agriculture,83.2,81.8,33.6,10.1,554.3,391.4,20.4,Mid-Range,Moderate,Bihar
Weight Sharing,SqueezeNet,Agriculture,86.9,85.2,52.5,17.9,317.2,171.3,18.4,Mid-Range,Moderate,Chhattisgarh
Pruning,ResNet50,Education,88.7,87.2,85.4,36.1,350.9,276.4,34.7,Mid-Range,Good,Rajasthan
Quantization,MobileNetV2,Agriculture,87.5,86.6,36.7,22.2,345.8,192.9,34.8,Mid-Range,Good,Jharkhand
Knowledge Distillation,ResNet18,Agriculture,84.1,81.2,41.3,13.6,495.4,319.2,12.9,Low-End,Good,Tamil Nadu
Weight Sharing,EfficientNet,Education,92.5,91.3,90.3,41.6,203.3,145.1,10.4,Low-End,Poor,Madhya Pradesh
Pruning,MobileNetV2,Healthcare,91.7,88.9,21.3,11.2,460.3,274.8,31.7,Mid-Range,Good,Chhattisgarh
Quantization,SqueezeNet,Healthcare,91.8,91.1,25,16.9,321.5,174.6,21.3,Mid-Range,Poor,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Education,92.5,91.8,57.5,22.8,330.2,174.5,10.9,Low-End,Good,Odisha
Weight Sharing,SqueezeNet,Education,93,91.5,51.8,28.1,244,181.4,29.2,Mid-Range,Poor,Odisha
Pruning,EfficientNet,Healthcare,90.2,87.3,25.1,17.2,551.4,283.2,32.1,Low-End,Good,Odisha
Quantization,ResNet50,Healthcare,90.2,87.5,80.2,31.8,174.6,133,13.7,Low-End,Moderate,Jharkhand
Knowledge Distillation,MobileNet,Education,85.8,85.2,28.3,18.2,189.1,130.5,21.2,Mid-Range,Poor,Tamil Nadu
Weight Sharing,SqueezeNet,Healthcare,85.2,82.3,80.6,49.3,421.6,227.5,38.2,Low-End,Moderate,Odisha
Pruning,ResNet50,Agriculture,90.1,87.7,84.8,30.9,554.2,282.2,19.5,Low-End,Good,Jharkhand
Quantization,ResNet50,Healthcare,88.3,86.3,46.5,15.8,564.5,415.9,37,Low-End,Poor,Bihar
Knowledge Distillation,EfficientNet,Education,91.4,90.3,76.5,43.2,249.2,196.4,32.7,Low-End,Poor,Madhya Pradesh
Weight Sharing,ResNet50,Agriculture,89.3,86.4,57.5,27,467.8,356.6,23,Mid-Range,Moderate,Rajasthan
Pruning,MobileNetV2,Healthcare,89.4,87.8,10.4,5.9,266.3,167,23.7,Low-End,Good,Manipur
Quantization,ResNet18,Healthcare,84.8,82,54.5,16.7,544.9,418,20.7,Low-End,Good,Uttar Pradesh
Knowledge Distillation,ResNet18,Healthcare,87.9,87.1,68.5,29.9,260.5,204.5,19.8,Low-End,Good,Jharkhand
Weight Sharing,MobileNet,Healthcare,91.3,89.8,36.1,10.9,513.5,395.9,24.2,Low-End,Good,Jharkhand
Pruning,MobileNet,Agriculture,84,83.3,92.7,32.3,151.9,104.3,32.4,Low-End,Good,Jharkhand
Quantization,MobileNet,Education,90.8,88.1,38.3,18.3,546.2,377.4,25.9,Low-End,Good,Manipur
Knowledge Distillation,ResNet18,Agriculture,84.2,83.1,56.5,39.2,416.9,322.8,33.4,Low-End,Poor,Tamil Nadu
Weight Sharing,EfficientNet,Healthcare,88.9,87.5,62.2,25.2,531.3,270.8,36.6,Mid-Range,Moderate,Uttar Pradesh
Pruning,MobileNetV2,Agriculture,92.9,91.1,54.4,17.4,311.7,214.5,37.3,Mid-Range,Good,Andhra Pradesh
Quantization,MobileNetV2,Education,90.7,90,52.7,19.2,459.4,292.2,17.7,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNetV2,Education,91.7,90.2,39.6,11.9,361.2,249.3,14.7,Low-End,Poor,Manipur
Weight Sharing,EfficientNet,Education,89.6,88,89.2,42.3,296.3,166.5,29.6,Mid-Range,Poor,Madhya Pradesh
Pruning,ResNet18,Agriculture,85.2,82.9,75.1,45.3,422.7,240.1,15.6,Mid-Range,Poor,Rajasthan
Quantization,MobileNet,Healthcare,90.7,89.2,26.2,11.5,540.7,340.2,23.5,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,ResNet18,Healthcare,85.6,84.7,28.2,9.6,446.8,293.4,28,Mid-Range,Moderate,Madhya Pradesh
Weight Sharing,SqueezeNet,Agriculture,87.2,84.7,90.8,32.1,402,222.7,11.9,Low-End,Good,Chhattisgarh
Pruning,ResNet18,Education,90.5,89.6,60.1,41.3,578.2,350.1,32.8,Low-End,Moderate,Manipur
Quantization,EfficientNet,Healthcare,93.8,92.7,64,42.5,537.1,399.6,17.3,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Education,87.1,86,36.6,25.4,431.7,239.4,20.2,Mid-Range,Good,Manipur
Weight Sharing,EfficientNet,Education,88.1,85.7,29.1,15.5,256.9,161,17.9,Low-End,Good,Odisha
Pruning,ResNet50,Healthcare,89.4,87.7,30.8,16.3,238,189.2,33.5,Low-End,Moderate,Assam
Quantization,ResNet18,Agriculture,84,81.3,36.2,16.4,330.1,195.6,23.9,Low-End,Poor,Rajasthan
Knowledge Distillation,EfficientNet,Education,90.8,88.2,28.3,12,157.3,120.2,27.1,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,89.9,87.4,81.9,31.5,271.4,202.9,21.9,Mid-Range,Poor,Uttar Pradesh
Pruning,EfficientNet,Education,85,83.9,70,46.8,264.3,146.9,20,Low-End,Good,Assam
Quantization,ResNet18,Healthcare,87.4,85.3,29.6,10.9,279.7,164.2,17.4,Low-End,Good,Manipur
Knowledge Distillation,MobileNetV2,Education,83.1,81.2,86.8,47.9,174.6,130.7,39.3,Mid-Range,Good,Manipur
Weight Sharing,MobileNetV2,Healthcare,91.5,89.9,95.8,61.6,394.6,214.5,10.8,Low-End,Poor,Rajasthan
Pruning,SqueezeNet,Healthcare,84.1,83.2,91.8,63.3,242.6,133,22.3,Mid-Range,Good,Jharkhand
Quantization,SqueezeNet,Education,87.7,85.1,8.1,3.8,342.9,195.1,11,Low-End,Good,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,89.7,86.9,59.2,40,344.8,231.8,26.1,Low-End,Poor,Madhya Pradesh
Weight Sharing,EfficientNet,Education,84.4,83.1,52.3,16.8,156.6,97,25.4,Low-End,Moderate,Andhra Pradesh
Pruning,ResNet18,Education,87.3,86.6,59.2,40,243.7,180.2,14.7,Mid-Range,Good,Odisha
Quantization,MobileNet,Agriculture,85.9,84.6,45.2,18.5,428.7,250.2,32.2,Low-End,Moderate,Chhattisgarh
Knowledge Distillation,EfficientNet,Education,87.4,84.5,63.6,30.9,400.2,222.9,17.4,Low-End,Good,Rajasthan
Weight Sharing,ResNet18,Healthcare,87.6,85.2,36.5,14.8,361.3,245.9,15.5,Mid-Range,Moderate,West Bengal
Pruning,SqueezeNet,Healthcare,88.1,85.1,93,42.8,266.2,164.6,10.5,Low-End,Moderate,Rajasthan
Quantization,EfficientNet,Agriculture,84.5,81.9,67.5,27.6,351.3,211.1,32,Low-End,Poor,Chhattisgarh
Knowledge Distillation,ResNet50,Healthcare,86.2,85.3,11.3,7,463.7,265.3,15.7,Low-End,Poor,Tamil Nadu
Weight Sharing,MobileNetV2,Agriculture,92.3,90.4,92.1,44.4,470.7,239.6,32.6,Low-End,Poor,Madhya Pradesh
Pruning,EfficientNet,Education,93.4,90.7,33.6,16.4,515.9,375.4,18.4,Mid-Range,Good,Jharkhand
Quantization,MobileNet,Healthcare,87.2,86.1,57.3,26.4,537.5,423.6,14.7,Low-End,Good,Andhra Pradesh
Knowledge Distillation,ResNet18,Healthcare,86.4,83.6,49.2,34.2,163.1,89.9,34.7,Mid-Range,Moderate,Manipur
Weight Sharing,EfficientNet,Healthcare,90.3,88.2,70.2,37.4,496.1,373.9,20.7,Low-End,Good,Odisha
Pruning,ResNet18,Agriculture,91.3,89.1,15,10,389,244,19.7,Low-End,Poor,Rajasthan
Quantization,EfficientNet,Education,86.6,84.9,53.5,36.6,413.4,213.2,19.8,Mid-Range,Moderate,Assam
Knowledge Distillation,MobileNetV2,Education,91,89.9,29.3,19.5,483,261.3,14.2,Low-End,Poor,Madhya Pradesh
Weight Sharing,MobileNetV2,Education,92.3,90.9,32,22.2,353.8,265.8,18,Low-End,Moderate,Rajasthan
Pruning,MobileNetV2,Healthcare,86,85.4,35.7,12.8,577.2,453.4,17.9,Low-End,Good,Madhya Pradesh
Quantization,ResNet50,Healthcare,89.9,88.8,67.2,20.8,459.7,258.4,27.2,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,ResNet50,Education,92.4,89.5,50.2,28.5,232.5,168.3,17.9,Mid-Range,Poor,Bihar
Weight Sharing,ResNet18,Agriculture,93.7,92.4,13.9,8.1,584,370,18.7,Mid-Range,Moderate,Uttar Pradesh
Pruning,MobileNetV2,Healthcare,93.5,93,91.5,57.7,177.6,108,34.8,Mid-Range,Poor,Chhattisgarh
Quantization,SqueezeNet,Agriculture,87.6,85.6,93.9,33.4,154.1,117.5,12.8,Low-End,Moderate,Bihar
Knowledge Distillation,ResNet50,Agriculture,88.9,87,8.9,2.9,286.4,205.7,11.6,Mid-Range,Moderate,Manipur
